timestamp,ADXL1_x,ADXL1_y,ADXL1_z,ADXL2_x,ADXL2_y,ADXL2_z,AN1,AN2
10:21:40.795,0.06,1.06,-0.03,0.03,1.03,-0.03,99,168
10:21:40.808,0.03,1.03,0.0,0.0,1.06,-0.03,107,89
10:21:40.809,0.03,1.03,-0.03,0.06,1.0,-0.06,85,156
10:21:40.810,0.03,1.06,0.0,0.0,1.03,-0.09,87,52
10:21:40.822,0.03,1.0,-0.03,0.03,1.0,-0.09,89,111
10:21:40.830,0.03,1.06,0.0,0.0,0.97,-0.09,92,206
10:21:40.842,0.03,1.03,-0.06,0.03,1.06,-0.03,99,88
10:21:40.854,0.0,1.03,0.0,-0.03,1.06,-0.03,79,121
10:21:40.861,0.03,1.03,-0.03,0.03,0.97,-0.06,100,105
10:21:40.871,0.03,1.03,0.0,0.0,1.0,0.0,87,117
10:21:40.881,0.03,1.03,0.0,0.03,0.94,0.0,91,132
10:21:40.891,0.03,1.0,-0.03,0.0,0.97,-0.06,73,61
10:21:40.901,0.0,1.06,-0.03,0.03,1.03,-0.06,93,123
10:21:40.911,0.03,1.0,0.0,0.03,1.0,-0.03,71,77
10:21:40.920,0.03,1.03,0.0,0.03,0.97,-0.03,85,106
10:21:40.931,0.03,1.03,-0.03,0.06,1.03,-0.03,85,94
10:21:40.941,0.03,1.03,0.0,0.03,1.06,-0.03,100,101
10:21:40.952,0.03,1.03,0.0,0.03,1.0,-0.09,77,123
10:21:40.960,0.03,1.03,0.0,0.06,1.0,-0.03,102,68
10:21:40.970,0.03,1.0,0.0,0.09,1.0,-0.03,75,41
10:21:40.982,0.03,1.06,0.0,0.03,1.03,0.0,103,165
10:21:40.991,0.06,1.03,-0.03,0.0,1.03,-0.06,85,121
10:21:41.002,0.03,1.03,0.0,0.0,1.03,-0.03,101,136
10:21:41.010,0.03,1.03,-0.03,0.0,0.97,0.0,89,101
10:21:41.021,0.03,1.06,0.0,0.03,0.97,-0.03,89,75
10:21:41.033,0.03,1.03,0.0,0.0,0.94,-0.09,86,134
10:21:41.041,0.03,1.06,-0.03,0.03,1.03,-0.06,101,83
10:21:41.051,0.03,1.03,-0.03,0.03,1.0,-0.09,74,75
10:21:41.061,0.03,1.03,0.0,0.03,1.03,-0.06,94,171
10:21:41.071,0.06,1.03,0.0,0.0,1.0,0.0,92,43
10:21:41.095,0.03,1.0,0.03,0.0,1.03,-0.03,29,26
10:21:41.095,0.03,1.06,-0.03,0.09,1.0,-0.06,78,123
10:21:41.112,0.06,1.0,0.0,0.03,0.97,-0.03,104,89
10:21:41.115,0.03,1.03,0.0,0.06,1.0,-0.09,92,153
10:21:41.121,0.0,1.0,0.0,0.03,1.06,-0.03,89,1
10:21:41.130,0.0,1.03,-0.03,0.03,1.0,-0.06,83,183
10:21:41.141,0.0,1.03,0.0,0.0,1.0,-0.03,95,132
