"11:00:23.415> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,0.94,0.00|AN:88|AN:115"
"11:00:23.423> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.00,0.00|AN:76|AN:172"
"11:00:23.434> RXADXL1:0.06,1.03,-0.03|ADXL2:0.03,0.97,-0.06|AN:76|AN:91"
"11:00:23.443> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.00,-0.06|AN:83|AN:47"
"11:00:23.453> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,0.94,0.00|AN:89|AN:155"
"11:00:23.468> RXADXL1:0.06,1.03,-0.03|ADXL2:0.00,1.09,-0.06|AN:58|AN:77"
"11:00:23.473> RXADXL1:0.06,1.03,-0.06|ADXL2:0.00,1.00,-0.09|AN:141|AN:98"
"11:00:23.483> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.06,-0.09|AN:76|AN:183"
"11:00:23.495> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,1.03,-0.06|AN:83|AN:149"
"11:00:23.506> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,0.97,0.00|AN:59|AN:121"
"11:00:23.514> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,0.94,-0.09|AN:77|AN:73"
"11:00:23.525> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.00,-0.06|AN:78|AN:169"
"11:00:23.534> RXADXL1:0.03,1.03,-0.06|ADXL2:0.00,1.03,-0.06|AN:69|AN:163"
"11:00:23.544> RXADXL1:0.03,1.03,0.03|ADXL2:-0.03,1.03,-0.09|AN:71|AN:138"
"11:00:23.555> RXADXL1:0.03,1.06,-0.06|ADXL2:0.09,1.12,-0.12|AN:84|AN:121"
"11:00:23.564> RXADXL1:0.06,1.03,0.00|ADXL2:0.00,1.06,-0.12|AN:79|AN:100"
"11:00:23.574> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.06,-0.09|AN:69|AN:159"
"11:00:23.585> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,1.00,-0.12|AN:70|AN:109"
"11:00:23.594> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,0.91,-0.03|AN:76|AN:119"
"11:00:23.613> RXADXL1:0.00,1.03,-0.03|ADXL2:-0.03,0.97,-0.06|AN:69|AN:173"
"11:00:23.615> RXADXL1:0.00,1.00,-0.03|ADXL2:0.00,1.00,-0.09|AN:85|AN:89"
"11:00:23.623> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,1.09,-0.06|AN:75|AN:171"
"11:00:23.633> RXADXL1:0.00,1.06,0.00|ADXL2:0.03,1.03,-0.06|AN:84|AN:86"
"11:00:23.645> RXADXL1:0.03,1.00,-0.06|ADXL2:0.00,1.03,-0.06|AN:70|AN:103"
"11:00:23.653> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.06,-0.03|AN:85|AN:147"
"11:00:23.663> RXADXL1:0.03,1.03,-0.06|ADXL2:0.06,0.94,-0.06|AN:75|AN:139"
"11:00:23.675> RXADXL1:0.06,1.06,0.00|ADXL2:0.03,1.00,0.00|AN:82|AN:101"
"11:00:23.683> RXADXL1:0.03,1.00,-0.06|ADXL2:0.03,0.88,-0.06|AN:75|AN:159"
"11:00:23.693> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,1.00,-0.03|AN:95|AN:87"
"11:00:23.705> RXADXL1:0.06,1.03,-0.06|ADXL2:0.03,1.09,-0.09|AN:54|AN:153"
"11:00:23.713> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.06,-0.03|AN:76|AN:179"
"11:00:23.723> RXADXL1:0.00,1.03,-0.06|ADXL2:0.06,1.00,-0.03|AN:75|AN:215"
"11:00:23.735> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,1.03,-0.03|AN:71|AN:111"
