"10:21:40.795> RXADXL1:0.06,1.06,-0.03|ADXL2:0.03,1.03,-0.03|AN:99|AN:168"
"10:21:40.808> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.06,-0.03|AN:107|AN:89"
"10:21:40.809> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,1.00,-0.06|AN:85|AN:156"
"10:21:40.810> RXADXL1:0.03,1.06,0.00|ADXL2:0.00,1.03,-0.09|AN:87|AN:52"
"10:21:40.822> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.00,-0.09|AN:89|AN:111"
"10:21:40.830> RXADXL1:0.03,1.06,0.00|ADXL2:0.00,0.97,-0.09|AN:92|AN:206"
"10:21:40.842> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,1.06,-0.03|AN:99|AN:88"
"10:21:40.854> RXADXL1:0.00,1.03,0.00|ADXL2:-0.03,1.06,-0.03|AN:79|AN:121"
"10:21:40.861> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,0.97,-0.06|AN:100|AN:105"
"10:21:40.871> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.00,0.00|AN:87|AN:117"
"10:21:40.881> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,0.94,0.00|AN:91|AN:132"
"10:21:40.891> RXADXL1:0.03,1.00,-0.03|ADXL2:0.00,0.97,-0.06|AN:73|AN:61"
"10:21:40.901> RXADXL1:0.00,1.06,-0.03|ADXL2:0.03,1.03,-0.06|AN:93|AN:123"
"10:21:40.911> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.00,-0.03|AN:71|AN:77"
"10:21:40.920> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,0.97,-0.03|AN:85|AN:106"
"10:21:40.931> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,1.03,-0.03|AN:85|AN:94"
"10:21:40.941> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.06,-0.03|AN:100|AN:101"
"10:21:40.952> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.00,-0.09|AN:77|AN:123"
"10:21:40.960> RXADXL1:0.03,1.03,0.00|ADXL2:0.06,1.00,-0.03|AN:102|AN:68"
"10:21:40.970> RXADXL1:0.03,1.00,0.00|ADXL2:0.09,1.00,-0.03|AN:75|AN:41"
"10:21:40.982> RXADXL1:0.03,1.06,0.00|ADXL2:0.03,1.03,0.00|AN:103|AN:165"
"10:21:40.991> RXADXL1:0.06,1.03,-0.03|ADXL2:0.00,1.03,-0.06|AN:85|AN:121"
"10:21:41.002> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.03,-0.03|AN:101|AN:136"
"10:21:41.010> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,0.97,0.00|AN:89|AN:101"
"10:21:41.021> RXADXL1:0.03,1.06,0.00|ADXL2:0.03,0.97,-0.03|AN:89|AN:75"
"10:21:41.033> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,0.94,-0.09|AN:86|AN:134"
"10:21:41.041> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,1.03,-0.06|AN:101|AN:83"
"10:21:41.051> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.00,-0.09|AN:74|AN:75"
"10:21:41.061> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.03,-0.06|AN:94|AN:171"
"10:21:41.071> RXADXL1:0.06,1.03,0.00|ADXL2:0.00,1.00,0.00|AN:92|AN:43"
"10:21:41.095> RXADXL1:0.03,1.00,0.03|ADXL2:0.00,1.03,-0.03|AN:29|AN:26"
"10:21:41.095> RXADXL1:0.03,1.06,-0.03|ADXL2:0.09,1.00,-0.06|AN:78|AN:123"
"10:21:41.112> RXADXL1:0.06,1.00,0.00|ADXL2:0.03,0.97,-0.03|AN:104|AN:89"
"10:21:41.115> RXADXL1:0.03,1.03,0.00|ADXL2:0.06,1.00,-0.09|AN:92|AN:153"
"10:21:41.121> RXADXL1:0.00,1.00,0.00|ADXL2:0.03,1.06,-0.03|AN:89|AN:1"
"10:21:41.130> RXADXL1:0.00,1.03,-0.03|ADXL2:0.03,1.00,-0.06|AN:83|AN:183"
"10:21:41.141> RXADXL1:0.00,1.03,0.00|ADXL2:0.00,1.00,-0.03|AN:95|AN:132"
"10:21:41.151> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,0.97,0.00|AN:85|AN:6"
"10:21:41.162> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.03,-0.03|AN:100|AN:164"
"10:21:41.171> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,1.03,-0.06|AN:71|AN:133"
"10:21:41.182> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.00,0.00|AN:99|AN:139"
"10:21:41.191> RXADXL1:0.06,1.03,-0.03|ADXL2:0.03,0.94,-0.03|AN:84|AN:73"
"10:21:41.201> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.03,-0.06|AN:70|AN:47"
"10:21:41.214> RXADXL1:0.06,1.06,-0.03|ADXL2:0.03,1.03,-0.09|AN:136|AN:243"
"10:21:41.220> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.06,-0.06|AN:90|AN:27"
"10:21:41.231> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.06,-0.09|AN:94|AN:149"
"10:21:41.241> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.00,-0.03|AN:90|AN:151"
"10:21:41.257> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,1.00,0.03|AN:89|AN:109"
"10:21:41.261> RXADXL1:0.00,1.03,0.03|ADXL2:0.03,1.03,-0.09|AN:94|AN:81"
"10:21:41.287> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,1.00,-0.06|AN:89|AN:71"
"10:21:41.291> RXADXL1:0.03,1.03,0.00|ADXL2:0.00,1.00,-0.03|AN:105|AN:167"
"10:21:41.292> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.00,-0.06|AN:95|AN:117"
"10:21:41.311> RXADXL1:0.06,1.03,0.00|ADXL2:0.00,1.06,-0.06|AN:93|AN:0"
"10:21:41.311> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.03,-0.09|AN:86|AN:159"
"10:21:41.322> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.03,-0.09|AN:84|AN:104"
"10:21:41.331> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,1.00,0.00|AN:85|AN:64"
"10:21:41.341> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,0.97,0.00|AN:93|AN:99"
"10:21:41.351> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,1.00,0.00|AN:93|AN:124"
"10:21:41.363> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,0.97,0.00|AN:103|AN:101"
"10:21:41.371> RXADXL1:0.03,1.06,-0.06|ADXL2:0.00,1.00,-0.03|AN:61|AN:89"
"10:21:41.408> RXADXL1:0.03,1.03,-0.06|ADXL2:0.03,1.00,0.00|AN:93|AN:35"
"10:21:41.412> RXADXL1:0.03,1.00,0.03|ADXL2:0.00,0.94,0.00|AN:98|AN:201"
"10:21:41.413> RXADXL1:0.03,1.03,-0.03|ADXL2:0.06,1.00,0.00|AN:118|AN:117"
"10:21:41.413> RXADXL1:0.00,1.00,0.00|ADXL2:0.03,1.00,0.00|AN:89|AN:61"
"10:21:41.424> RXADXL1:0.03,1.06,-0.06|ADXL2:0.03,1.03,-0.06|AN:95|AN:203"
"10:21:41.431> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,0.97,-0.03|AN:76|AN:137"
"10:21:41.444> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.00,-0.03|AN:89|AN:125"
"10:21:41.451> RXADXL1:0.03,1.00,0.00|ADXL2:0.00,0.97,0.00|AN:83|AN:27"
"10:21:41.463> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,0.97,-0.03|AN:88|AN:143"
"10:21:41.471> RXADXL1:0.03,1.03,-0.03|ADXL2:-0.06,0.97,-0.06|AN:71|AN:192"
"10:21:41.480> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.00,-0.03|AN:88|AN:0"
"10:21:41.490> RXADXL1:0.03,1.06,0.00|ADXL2:0.00,1.00,0.00|AN:93|AN:147"
"10:21:41.500> RXADXL1:0.03,1.03,-0.03|ADXL2:0.03,1.03,-0.03|AN:95|AN:141"
"10:21:41.510> RXADXL1:0.03,1.03,0.03|ADXL2:0.00,1.00,-0.03|AN:69|AN:179"
"10:21:41.523> RXADXL1:0.06,1.06,0.00|ADXL2:0.06,1.00,-0.06|AN:103|AN:99"
"10:21:41.531> RXADXL1:0.03,1.03,0.03|ADXL2:0.00,1.00,-0.06|AN:87|AN:71"
"10:21:41.543> RXADXL1:0.03,1.06,-0.03|ADXL2:0.03,1.00,-0.06|AN:95|AN:174"
"10:21:41.555> RXADXL1:0.03,1.03,0.03|ADXL2:0.03,1.00,-0.06|AN:78|AN:52"
"10:21:41.561> RXADXL1:0.03,1.03,-0.03|ADXL2:0.00,1.00,-0.03|AN:95|AN:99"
"10:21:41.570> RXADXL1:0.03,1.06,0.00|ADXL2:0.00,1.00,-0.03|AN:90|AN:89"
"10:21:41.582> RXADXL1:0.06,1.06,-0.03|ADXL2:0.03,1.03,-0.12|AN:103|AN:93"
"10:21:41.590> RXADXL1:0.03,1.00,0.03|ADXL2:0.00,1.03,-0.09|AN:84|AN:73"
"10:21:41.601> RXADXL1:0.06,1.03,-0.03|ADXL2:0.03,0.97,-0.09|AN:94|AN:88"
"10:21:41.611> RXADXL1:0.03,1.06,0.00|ADXL2:0.00,0.97,-0.03|AN:83|AN:139"
"10:21:41.623> RXADXL1:0.03,1.00,-0.03|ADXL2:0.03,1.03,-0.06|AN:93|AN:127"
"10:21:41.631> RXADXL1:0.03,1.03,0.00|ADXL2:-0.03,1.03,-0.06|AN:37|AN:85"
"10:21:41.641> RXADXL1:0.03,1.03,0.00|ADXL2:0.06,1.00,-0.03|AN:97|AN:69"
"10:21:41.651> RXADXL1:0.00,1.03,0.00|ADXL2:0.03,1.00,-0.03|AN:86|AN:133"
"10:21:41.661> RXADXL1:0.03,1.03,0.00|ADXL2:0.03,1.12,-0.03|AN:101|AN:76"
"10:21:41.675> RXADXL1:0.00,1.00,0.00|ADXL2:0.06,0.97,-0.06|AN:71|AN:39"
"10:21:41.681> RXADXL1:0.03,1.06,0.00|ADXL2:0.03,0.97,-0.03|AN:98|AN:117"
"10:21:41.691> RXADXL1:0.03,1.00,0.00|ADXL2:0.03,1.00,-0.06|AN:74|AN:123"
